Partition Key,Row Key,Timestamp,Log Timestamp,Level,Logger Name,Message,Machine Name,Exception
Client4Project881.UserMigration129233SyncJob9372,22F47E881096CCFB_7FFFFFE2_d0a2018d2f95452bb9d05dc3fb845188,4/24/2018 2:15:54 PM,04/24/2018 14:15:53,Debug,SyncJob,"Refreshing token for tenantId: 1204",mainpa000004,""
Client4Project881.UserMigration129233SyncJob9372,22F47E8810E57AE3_7FFFFFE3_d0a2018d2f95452bb9d05dc3fb845188,4/24/2018 2:15:54 PM,04/24/2018 14:15:52,Trace,SyncJob,"Get-MailboxPermisssions Retreived 25 for Mailbox C7O365SML23@btcorp7.onmicrosoft.com Source",mainpa000004,""
Client4Project881.UserMigration129233SyncJob9372,22F47E881284561F_7FFFFFE4_d0a2018d2f95452bb9d05dc3fb845188,4/24/2018 2:15:54 PM,04/24/2018 14:15:50,Trace,SyncJob,"SendAs Rights Retreived 1 for Mailbox C7O365SML23@btcorp7.onmicrosoft.com Source",mainpa000004,""
Client4Project881.UserMigration129233SyncJob9372,22F47E8812BB2AD3_7FFFFFE5_d0a2018d2f95452bb9d05dc3fb845188,4/24/2018 2:15:54 PM,04/24/2018 14:15:49,Info,SyncJob,"LegalHold copy is disabled in profile.",mainpa000004,""
Client4Project881.UserMigration129233SyncJob9372,22F47E8812BB2AD3_7FFFFFE6_d0a2018d2f95452bb9d05dc3fb845188,4/24/2018 2:15:54 PM,04/24/2018 14:15:49,Debug,SyncJob,"On premise setting is False  ",mainpa000004,""
Client4Project881.UserMigration129233SyncJob9372,22F47E8812BB2AD3_7FFFFFE7_d0a2018d2f95452bb9d05dc3fb845188,4/24/2018 2:15:54 PM,04/24/2018 14:15:49,Trace,SyncJob,"Powershell Override used https://outlook.office365.com/PowerShell",mainpa000004,""
Client4Project881.UserMigration129233SyncJob9372,22F47E8812BB2AD3_7FFFFFE8_d0a2018d2f95452bb9d05dc3fb845188,4/24/2018 2:15:54 PM,04/24/2018 14:15:49,Trace,SyncJob,"AutoDiscover Override used https://autodiscover-s.outlook.com/autodiscover",mainpa000004,""
Client4Project881.UserMigration129233SyncJob9372,22F47E8812BB2AD3_7FFFFFE9_d0a2018d2f95452bb9d05dc3fb845188,4/24/2018 2:15:54 PM,04/24/2018 14:15:49,Debug,SyncJob,"On premise setting is False  ",mainpa000004,""
Client4Project881.UserMigration129233SyncJob9372,22F47E8812BB2AD3_7FFFFFEA_d0a2018d2f95452bb9d05dc3fb845188,4/24/2018 2:15:54 PM,04/24/2018 14:15:49,Trace,SyncJob,"Powershell Override used https://outlook.office365.com/PowerShell",mainpa000004,""
Client4Project881.UserMigration129233SyncJob9372,22F47E8812BB2AD3_7FFFFFEB_d0a2018d2f95452bb9d05dc3fb845188,4/24/2018 2:15:54 PM,04/24/2018 14:15:49,Trace,SyncJob,"AutoDiscover Override used https://autodiscover-s.outlook.com/autodiscover",mainpa000004,""
Client4Project881.UserMigration129233SyncJob9372,22F47E8812D30430_7FFFFFEC_d0a2018d2f95452bb9d05dc3fb845188,4/24/2018 2:15:54 PM,04/24/2018 14:15:49,Info,SyncJob,"Created sync job for C7O365SML23@btcorp7.onmicrosoft.com. [UserMigrationId #129233]",mainpa000004,""
