Partition Key,Row Key,Timestamp,Log Timestamp,Level,Logger Name,Message,Machine Name,Exception
Client4Tenant1024,22F488D742D5AD3B_7FFFFFF0_de03311d6db34539979fb9421f0cf49b,4/11/2018 11:23:47 AM,04/11/2018 11:23:47,Debug,ServiceUtilities,"Deleting service - exited gracefully",mainpa000000,""
Client4Tenant1024,22F488D7435B3A7E_7FFFFFF1_de03311d6db34539979fb9421f0cf49b,4/11/2018 11:23:46 AM,04/11/2018 11:23:46,Info,TenantHealthWorker,"End:fabric:/TenantHealthWorkerApp/4/1024/TenantHealthWorker, node=_mainpa_0",mainpa000000,""
Client4Tenant1024,22F488D7447DE8A4_7FFFFFF2_de03311d6db34539979fb9421f0cf49b,4/11/2018 11:23:46 AM,04/11/2018 11:23:44,Trace,TenantHealthHandler,"Checking OAuth2ClientProfileEnable for BT Corp7 QA",mainpa000000,""
Client4Tenant1024,22F488D7447DE8A4_7FFFFFF3_de03311d6db34539979fb9421f0cf49b,4/11/2018 11:23:46 AM,04/11/2018 11:23:44,Trace,TenantHealthHandler,"F/B partnership not required",mainpa000000,""
Client4Tenant1024,22F488D744F9E2E2_7FFFFFF4_de03311d6db34539979fb9421f0cf49b,4/11/2018 11:23:46 AM,04/11/2018 11:23:43,Trace,TenantHealthHandler,"Checking PowerShell user BinaryTreePowerShellUser.BT-AutoQA2@btcorp7.onmicrosoft.com for BT Corp7 QA",mainpa000000,""
Client4Tenant1024,22F488D744F9E2E2_7FFFFFF5_de03311d6db34539979fb9421f0cf49b,4/11/2018 11:23:46 AM,04/11/2018 11:23:43,Info,PowerShell,"Created PowerShell session for BinaryTreePowerShellUser.BT-AutoQA2@btcorp7.onmicrosoft.com to https://outlook.office365.com/PowerShell.",mainpa000000,""
Client4Tenant1024,22F488D7521BF0F6_7FFFFFF6_de03311d6db34539979fb9421f0cf49b,4/11/2018 11:23:26 AM,04/11/2018 11:23:21,Trace,TenantHealthHandler,"Checking OAuth for BT Corp7 QA",mainpa000000,""
Client4Tenant1024,22F488D7521BF0F6_7FFFFFF7_de03311d6db34539979fb9421f0cf49b,4/11/2018 11:23:26 AM,04/11/2018 11:23:21,Debug,TenantHealthHandler,"Starting TenantHealth checks for BT Corp7 QA",mainpa000000,""
Client4Tenant1024,22F488D752362AF7_7FFFFFF8_de03311d6db34539979fb9421f0cf49b,4/11/2018 11:23:26 AM,04/11/2018 11:23:21,Trace,TenantHealthHandler,"DirSyncMaxFrequencyMinutes=60",mainpa000000,""
Client4Tenant1024,22F488E042A72181_7FFFFFF0_b8bc9cdb6ec947f79b01d44666ff59fd,4/11/2018 10:19:22 AM,04/11/2018 10:19:22,Debug,ServiceUtilities,"Deleting service - exited gracefully",mainpa000000,""
Client4Tenant1024,22F488E042FCF630_7FFFFFF1_b8bc9cdb6ec947f79b01d44666ff59fd,4/11/2018 10:19:21 AM,04/11/2018 10:19:21,Info,TenantHealthWorker,"End:fabric:/TenantHealthWorkerApp/4/1024/TenantHealthWorker, node=_mainpa_0",mainpa000000,""
Client4Tenant1024,22F488E044734765_7FFFFFF2_b8bc9cdb6ec947f79b01d44666ff59fd,4/11/2018 10:19:21 AM,04/11/2018 10:19:19,Trace,TenantHealthHandler,"Checking OAuth2ClientProfileEnable for BT Corp7 QA",mainpa000000,""
Client4Tenant1024,22F488E044734765_7FFFFFF3_b8bc9cdb6ec947f79b01d44666ff59fd,4/11/2018 10:19:21 AM,04/11/2018 10:19:19,Trace,TenantHealthHandler,"F/B partnership not required",mainpa000000,""
